Wall time,Step,Value
1526395194.4766054,318,0.005834497977048159
1526395215.1264129,319,0.005834539420902729
1526395235.3428254,320,0.005835794378072023
1526395256.1007307,321,0.005834669806063175
1526395276.4692817,322,0.005831026006489992
1526395297.0790684,323,0.005834271665662527
1526395317.6067486,324,0.005833979230374098
1526395337.8151698,325,0.005834738723933697
1526395358.2587738,326,0.005832878407090902
1526395378.8185143,327,0.005833519157022238
1526395399.1470132,328,0.005833241622895002
1526395419.4424984,329,0.0058322143740952015
1526395439.7019494,330,0.005835229530930519
1526395460.0234578,331,0.0058338153176009655
1526395480.8344116,332,0.005833080038428307
1526395500.962744,333,0.005832199938595295
1526395521.1641588,334,0.005830148700624704
1526395541.610765,335,0.005833050701767206
1526395562.177497,336,0.005833463277667761
1526395582.3989139,337,0.005834511946886778
1526395602.7714844,338,0.005834469571709633
1526395623.1530476,339,0.005833313334733248
1526395643.4775426,340,0.0058316802605986595
1526395664.020253,341,0.0058327424339950085
1526395684.641033,342,0.005833722651004791
1526395705.4139526,343,0.005831518210470676
1526395725.4261947,344,0.005833054427057505
1526395746.0089252,345,0.0058320737443864346
1526395766.1192417,346,0.00583252776414156
1526395786.939203,347,0.00583144323900342
1526395807.4258618,348,0.0058324867859482765
1526395828.1777618,349,0.005831836257129908
1526395848.6043663,350,0.005830955691635609
1526395869.4403424,351,0.005831753835082054
1526395889.855937,352,0.005833350587636232
1526395910.7279465,353,0.005831982009112835
1526395931.2706616,354,0.0058316513895988464
1526395951.7272933,355,0.005830700043588877
1526395972.1779184,356,0.005830494686961174
1526395992.8417385,357,0.005829981528222561
1526396013.647704,358,0.005831053946167231
1526396034.354563,359,0.0058309538289904594
1526396054.7981827,360,0.005830491427332163
1526396075.5670981,361,0.005831349175423384
1526396095.9066226,362,0.005830811802297831
1526396116.4423263,363,0.0058311703614890575
1526396137.2042196,364,0.005828991066664457
1526396157.6468391,365,0.005831670947372913
1526396178.1225028,366,0.005830493289977312
1526396198.4310281,367,0.005831149406731129
1526396218.7475133,368,0.005831360351294279
1526396239.2672014,369,0.005830327048897743
1526396259.7989013,370,0.0058311959728598595
1526396280.3205917,371,0.0058296495117247105
1526396300.618094,372,0.005832328926771879
1526396321.0166562,373,0.0058294362388551235
1526396341.4782925,374,0.005829739384353161
1526396361.906898,375,0.005830041132867336
1526396382.3915555,376,0.005829316563904285
1526396403.0984297,377,0.005829562433063984
1526396423.54904,378,0.005829567555338144
1526396444.2168646,379,0.005828821565955877
1526396464.561409,380,0.005829939618706703
1526396485.2172053,381,0.005830357316881418
1526396505.9340742,382,0.005827336572110653
1526396526.379695,383,0.005828837864100933
1526396546.8523407,384,0.0058298734948039055
1526396567.5021641,385,0.005828956142067909
1526396587.7305722,386,0.00583244813606143
1526396608.2662756,387,0.005831407383084297
1526396628.9591217,388,0.005829330999404192
1526396649.2776272,389,0.005828522145748138
1526396669.5560966,390,0.00582863949239254
1526396690.2579515,391,0.005827806424349546
1526396710.6405149,392,0.005828522145748138
1526396732.1230962,393,0.0058301277458667755
1526396752.7398577,394,0.005826542619615793
1526396773.513778,395,0.005825977306813002
1526396793.963403,396,0.005829063709825277
1526396814.692282,397,0.005827606655657291
1526396835.1118796,398,0.005829544272273779
1526396855.6165712,399,0.005829437170177698
1526396876.13224,400,0.005825534462928772
